"Indexcd","Month","Idxrtn"
"000906","2008-01","-0.119524"
"000906","2008-02","0.027762"
"000906","2008-03","-0.191728"
"000906","2008-04","0.026266"
"000906","2008-05","-0.077055"
"000906","2008-06","-0.232283"
"000906","2008-07","0.018654"
"000906","2008-08","-0.166457"
"000906","2008-09","-0.064323"
"000906","2008-10","-0.260510"
"000906","2008-11","0.115285"
"000906","2008-12","0.005622"
"000906","2009-01","0.125614"
"000906","2009-02","0.058708"
"000906","2009-03","0.178941"
"000906","2009-04","0.048803"
"000906","2009-05","0.054284"
"000906","2009-06","0.126315"
"000906","2009-07","0.170933"
"000906","2009-08","-0.226936"
"000906","2009-09","0.056479"
"000906","2009-10","0.098828"
"000906","2009-11","0.087781"
"000906","2009-12","0.018200"
"000906","2010-01","-0.085526"
"000906","2010-02","0.032900"
"000906","2010-03","0.021180"
"000906","2010-04","-0.078994"
"000906","2010-05","-0.090589"
"000906","2010-06","-0.083991"
"000906","2010-07","0.125491"
"000906","2010-08","0.033284"
"000906","2010-09","0.012344"
"000906","2010-10","0.133190"
"000906","2010-11","-0.050360"
"000906","2010-12","-0.011440"
"000906","2011-01","-0.029931"
"000906","2011-02","0.066547"
"000906","2011-03","-0.008681"
"000906","2011-04","-0.015677"
"000906","2011-05","-0.065471"
"000906","2011-06","0.018357"
"000906","2011-07","-0.014810"
"000906","2011-08","-0.042310"
"000906","2011-09","-0.102834"
"000906","2011-10","0.042301"
"000906","2011-11","-0.059464"
"000906","2011-12","-0.089186"
"000906","2012-01","0.040286"
"000906","2012-02","0.081456"
"000906","2012-03","-0.069876"
"000906","2012-04","0.070430"
"000906","2012-05","0.007609"
"000906","2012-06","-0.067366"
"000906","2012-07","-0.061414"
"000906","2012-08","-0.043410"
"000906","2012-09","0.034920"
"000906","2012-10","-0.015056"
"000906","2012-11","-0.065591"
"000906","2012-12","0.175423"
"000906","2013-01","0.064350"
"000906","2013-02","0.004423"
"000906","2013-03","-0.061532"
"000906","2013-04","-0.020073"
"000906","2013-05","0.082841"
"000906","2013-06","-0.156154"
"000906","2013-07","0.012223"
"000906","2013-08","0.058455"
"000906","2013-09","0.045236"
"000906","2013-10","-0.021576"
"000906","2013-11","0.036503"
"000906","2013-12","-0.040773"
"000906","2014-01","-0.036767"
"000906","2014-02","-0.001402"
"000906","2014-03","-0.020322"
"000906","2014-04","-0.001169"
"000906","2014-05","0.003790"
"000906","2014-06","0.009718"
"000906","2014-07","0.085260"
"000906","2014-08","0.007356"
"000906","2014-09","0.065843"
"000906","2014-10","0.020697"
"000906","2014-11","0.099807"
"000906","2014-12","0.188248"
"000906","2015-01","-0.006769"
"000906","2015-02","0.047734"
"000906","2015-03","0.153043"
"000906","2015-04","0.171137"
"000906","2015-05","0.063241"
"000906","2015-06","-0.084893"
"000906","2015-07","-0.142479"
"000906","2015-08","-0.126995"
"000906","2015-09","-0.054690"
"000906","2015-10","0.118740"
"000906","2015-11","0.019976"
"000906","2015-12","0.040780"
"000906","2016-01","-0.232291"
"000906","2016-02","-0.022837"
"000906","2016-03","0.127570"
"000906","2016-04","-0.021552"
"000906","2016-05","0.001034"
"000906","2016-06","0.005172"
"000906","2016-07","0.014978"
"000906","2016-08","0.038246"
"000906","2016-09","-0.020606"
"000906","2016-10","0.023716"
"000906","2016-11","0.048397"
"000906","2016-12","-0.059818"
"000906","2017-01","0.014570"
"000906","2017-02","0.024241"
"000906","2017-03","-0.001611"
"000906","2017-04","-0.012079"
"000906","2017-05","-0.007136"
"000906","2017-06","0.050930"
"000906","2017-07","0.021230"
"000906","2017-08","0.023882"
"000906","2017-09","0.008456"
"000906","2017-10","0.029954"
"000906","2017-11","-0.012472"
"000906","2017-12","0.004016"
"000906","2018-01","0.042263"
"000906","2018-02","-0.050958"
"000906","2018-03","-0.019276"
"000906","2018-04","-0.037697"
"000906","2018-05","0.004122"
"000906","2018-06","-0.080887"
"000906","2018-07","0.000032"
"000906","2018-08","-0.057037"
"000906","2018-09","0.022918"
"000906","2018-10","-0.089362"
"000906","2018-11","0.010268"
"000906","2018-12","-0.050211"
"000906","2019-01","0.048533"
"000906","2019-02","0.159347"
"000906","2019-03","0.067024"
"000906","2019-04","-0.002865"
"000906","2019-05","-0.072930"
"000906","2019-06","0.042863"
"000906","2019-07","-0.000297"
"000906","2019-08","-0.007947"
"000906","2019-09","0.005627"
"000906","2019-10","0.013358"
"000906","2019-11","-0.012543"
"000906","2019-12","0.071435"
"000906","2020-01","-0.012292"
"000906","2020-02","-0.008668"
"000906","2020-03","-0.067126"
"000906","2020-04","0.061561"
"000906","2020-05","-0.006307"
"000906","2020-06","0.078748"
"000906","2020-07","0.126155"
"000906","2020-08","0.022750"
"000906","2020-09","-0.053387"
"000906","2020-10","0.014684"
"000906","2020-11","0.051213"
"000906","2020-12","0.040613"
"000906","2021-01","0.020228"
"000906","2021-02","-0.001589"
"000906","2021-03","-0.045990"
"000906","2021-04","0.019887"
"000906","2021-05","0.039901"
"000906","2021-06","-0.012994"
"000906","2021-07","-0.062761"
"000906","2021-08","0.016167"
"000906","2021-09","0.004252"
"000906","2021-10","0.003804"
"000906","2021-11","-0.003992"
"000906","2021-12","0.020264"
"000906","2022-01","-0.083353"
"000906","2022-02","0.012716"
"000906","2022-03","-0.078057"
