"Stkcd","Trdmnt","Mretwd"
"000002","2008-01","-0.096741"
"000002","2008-02","-0.107486"
"000002","2008-03","0.101075"
"000002","2008-04","-0.048047"
"000002","2008-05","-0.189577"
"000002","2008-06","-0.265772"
"000002","2008-07","-0.056604"
"000002","2008-08","-0.167059"
"000002","2008-09","-0.077684"
"000002","2008-10","-0.099541"
"000002","2008-11","0.159864"
"000002","2008-12","-0.054252"
"000002","2009-01","0.091473"
"000002","2009-02","0.015625"
"000002","2009-03","0.158042"
"000002","2009-04","0.024155"
"000002","2009-05","0.148585"
"000002","2009-06","0.314909"
"000002","2009-07","0.047843"
"000002","2009-08","-0.296407"
"000002","2009-09","0.108511"
"000002","2009-10","0.104607"
"000002","2009-11","0.001738"
"000002","2009-12","-0.062446"
"000002","2010-01","-0.135985"
"000002","2010-02","0.009636"
"000002","2010-03","0.007423"
"000002","2010-04","-0.178947"
"000002","2010-05","-0.066826"
"000002","2010-06","-0.059639"
"000002","2010-07","0.222714"
"000002","2010-08","0.015682"
"000002","2010-09","-0.002375"
"000002","2010-10","0.154762"
"000002","2010-11","-0.161856"
"000002","2010-12","0.011070"
"000002","2011-01","-0.002433"
"000002","2011-02","-0.004878"
"000002","2011-03","0.064951"
"000002","2011-04","-0.024166"
"000002","2011-05","-0.063769"
"000002","2011-06","0.077806"
"000002","2011-07","-0.035503"
"000002","2011-08","0.000000"
"000002","2011-09","-0.111656"
"000002","2011-10","0.104972"
"000002","2011-11","-0.117500"
"000002","2011-12","0.058074"
"000002","2012-01","0.024096"
"000002","2012-02","0.082353"
"000002","2012-03","0.000000"
"000002","2012-04","0.084541"
"000002","2012-05","0.030067"
"000002","2012-06","-0.036757"
"000002","2012-07","0.050410"
"000002","2012-08","-0.131094"
"000002","2012-09","0.051122"
"000002","2012-10","-0.013049"
"000002","2012-11","0.051683"
"000002","2012-12","0.156571"
"000002","2013-01","0.186759"
"000002","2013-02","-0.000833"
"000002","2013-03","-0.103333"
"000002","2013-04","0.025093"
"000002","2013-05","0.102837"
"000002","2013-06","-0.177796"
"000002","2013-07","-0.033503"
"000002","2013-08","-0.006303"
"000002","2013-09","-0.034884"
"000002","2013-10","0.008762"
"000002","2013-11","-0.048860"
"000002","2013-12","-0.083333"
"000002","2014-01","-0.080946"
"000002","2014-02","-0.089431"
"000002","2014-03","0.203869"
"000002","2014-04","-0.023486"
"000002","2014-05","0.142649"
"000002","2014-06","-0.032749"
"000002","2014-07","0.197098"
"000002","2014-08","-0.078788"
"000002","2014-09","0.006579"
"000002","2014-10","0.023965"
"000002","2014-11","0.159574"
"000002","2014-12","0.275229"
"000002","2015-01","-0.056115"
"000002","2015-02","-0.028201"
"000002","2015-03","0.083922"
"000002","2015-04","0.056440"
"000002","2015-05","-0.017123"
"000002","2015-06","0.011847"
"000002","2015-07","0.010236"
"000002","2015-08","-0.026798"
"000002","2015-09","-0.077536"
"000002","2015-10","0.073841"
"000002","2015-11","0.102414"
"000002","2015-12","0.621102"
"000002","2016-07","-0.268932"
"000002","2016-08","0.454492"
"000002","2016-09","0.049739"
"000002","2016-10","-0.047765"
"000002","2016-11","0.082665"
"000002","2016-12","-0.238325"
"000002","2017-01","0.006326"
"000002","2017-02","-0.007253"
"000002","2017-03","0.002435"
"000002","2017-04","-0.052478"
"000002","2017-05","0.090256"
"000002","2017-06","0.174506"
"000002","2017-07","-0.064077"
"000002","2017-08","0.027624"
"000002","2017-09","0.130004"
"000002","2017-10","0.103238"
"000002","2017-11","0.078039"
"000002","2017-12","-0.005125"
"000002","2018-01","0.209272"
"000002","2018-02","-0.129393"
"000002","2018-03","0.018043"
"000002","2018-04","-0.146891"
"000002","2018-05","-0.098944"
"000002","2018-06","-0.038687"
"000002","2018-07","-0.052033"
"000002","2018-08","0.071976"
"000002","2018-09","0.010395"
"000002","2018-10","-0.002881"
"000002","2018-11","0.049938"
"000002","2018-12","-0.063679"
"000002","2019-01","0.164987"
"000002","2019-02","0.008649"
"000002","2019-03","0.097535"
"000002","2019-04","-0.059896"
"000002","2019-05","-0.075485"
"000002","2019-06","0.041573"
"000002","2019-07","0.034160"
"000002","2019-08","-0.067328"
"000002","2019-09","0.003876"
"000002","2019-10","0.024324"
"000002","2019-11","0.044101"
"000002","2019-12","0.161733"
"000002","2020-01","-0.099441"
"000002","2020-02","0.021049"
"000002","2020-03","-0.133153"
"000002","2020-04","0.044834"
"000002","2020-05","-0.041045"
"000002","2020-06","0.017121"
"000002","2020-07","0.026779"
"000002","2020-08","0.053335"
"000002","2020-09","0.027503"
"000002","2020-10","-0.016774"
"000002","2020-11","0.114338"
"000002","2020-12","-0.065147"
"000002","2021-01","-0.031707"
"000002","2021-02","0.191076"
"000002","2021-03","-0.093656"
"000002","2021-04","-0.061000"
"000002","2021-05","-0.052183"
"000002","2021-06","-0.108240"
"000002","2021-07","-0.132297"
"000002","2021-08","0.014775"
"000002","2021-09","0.076263"
"000002","2021-10","-0.145472"
"000002","2021-11","0.002746"
"000002","2021-12","0.082147"
"000002","2022-01","0.028846"
"000002","2022-02","-0.055583"
"000002","2022-03","-0.002604"
