date,bankrupt,capital,decline,default,fall,inflation,liability,loss,recession,short
2018-09-02,5,55,0,78,17,0,0,54,4,74
2018-09-09,0,41,6,77,29,10,0,55,0,58
2018-09-16,0,50,0,69,26,15,12,49,0,57
2018-09-23,5,45,0,84,41,8,6,57,0,66
2018-09-30,0,50,0,37,43,14,0,48,0,75
2018-10-07,0,58,0,78,35,5,6,60,6,63
2018-10-14,0,48,7,67,24,0,0,65,0,48
2018-10-21,9,64,3,71,27,13,3,72,6,67
2018-10-28,0,56,4,77,22,9,10,74,0,69
2018-11-04,0,52,0,70,23,14,3,69,0,62
2018-11-11,0,71,0,81,29,0,0,43,3,87
2018-11-18,0,60,0,78,25,12,0,57,0,78
2018-11-25,3,72,7,91,19,9,0,67,4,68
2018-12-02,0,49,9,91,38,9,4,61,0,78
2018-12-09,0,47,4,100,28,7,16,82,7,66
2018-12-16,5,57,0,80,19,9,3,75,3,77
2018-12-23,0,38,0,84,11,4,5,60,0,67
2018-12-30,0,50,6,77,25,6,0,34,0,66
2019-01-06,0,63,3,83,23,0,6,64,3,63
2019-01-13,4,66,3,82,28,0,0,73,0,61
2019-01-20,0,52,0,87,14,8,8,68,5,60
2019-01-27,6,61,0,84,22,5,0,45,0,60
2019-02-03,0,37,0,47,46,0,12,0,0,58
2019-02-10,0,36,6,94,18,0,6,28,5,60
2019-02-17,9,71,5,88,26,4,6,56,0,62
2019-02-24,0,51,3,80,19,8,4,54,0,61
2019-03-03,6,72,4,81,23,4,0,51,0,73
2019-03-10,7,57,6,87,19,0,8,60,0,83
2019-03-17,3,64,5,82,22,7,6,72,0,56
2019-03-24,0,63,0,75,23,5,3,69,3,66
2019-03-31,0,57,9,86,19,5,3,56,0,45
2019-04-07,0,50,4,78,30,11,14,78,6,48
2019-04-14,0,57,0,71,31,14,4,52,0,74
2019-04-21,0,67,0,76,23,0,5,81,0,67
2019-04-28,5,66,5,83,36,18,0,70,4,65
2019-05-05,0,63,6,82,8,5,5,68,0,72
2019-05-12,0,63,10,89,20,4,5,58,0,72
2019-05-19,4,66,0,78,14,9,3,55,0,59
2019-05-26,0,52,7,66,24,11,0,63,8,61
2019-06-02,4,55,4,49,14,8,0,71,6,71
2019-06-09,0,58,0,59,9,11,9,68,4,55
2019-06-16,4,70,0,76,29,6,0,67,0,60
2019-06-23,0,41,5,72,27,7,4,67,0,66
2019-06-30,0,46,0,90,25,13,0,64,0,64
2019-07-07,0,59,0,79,27,0,0,58,0,54
2019-07-14,0,55,9,77,18,9,0,62,4,48
2019-07-21,0,53,0,70,14,10,0,48,4,58
2019-07-28,0,44,6,68,34,3,7,80,5,64
2019-08-04,0,66,0,67,20,0,0,54,0,44
2019-08-11,0,56,0,91,16,15,5,70,8,60
2019-08-18,0,50,9,86,25,10,7,50,10,46
2019-08-25,0,56,0,89,32,0,0,59,5,79
2019-09-01,0,70,6,78,35,10,5,59,0,56
2019-09-08,5,62,4,68,23,8,8,53,4,78
2019-09-15,6,45,0,81,27,5,5,66,0,71
2019-09-22,4,60,10,83,30,3,11,59,0,60
2019-09-29,0,38,0,39,22,15,12,47,6,60
2019-10-06,0,60,8,70,29,4,10,36,10,47
2019-10-13,0,67,5,76,32,12,5,52,0,60
2019-10-20,0,85,0,75,30,24,0,61,0,78
2019-10-27,0,61,3,73,27,10,7,51,4,63
2019-11-03,0,57,0,79,53,9,0,65,8,51
2019-11-10,4,68,15,75,26,7,6,54,0,51
2019-11-17,0,61,6,84,25,0,0,49,0,64
2019-11-24,0,64,6,62,30,8,6,56,4,60
2019-12-01,20,76,0,72,25,15,6,82,0,70
2019-12-08,0,49,8,65,15,8,0,40,0,53
2019-12-15,9,63,0,75,16,15,17,46,0,62
2019-12-22,0,54,4,96,23,0,5,58,0,66
2019-12-29,0,64,4,49,30,14,0,36,0,70
2020-01-05,0,73,0,61,25,11,0,58,0,60
2020-01-12,0,64,0,82,24,6,12,66,7,67
2020-01-19,0,66,5,52,30,0,0,43,6,48
2020-01-26,0,67,0,23,39,10,0,27,0,51
2020-02-02,0,31,0,25,9,8,18,39,13,58
2020-02-09,12,58,0,46,36,0,0,50,0,67
2020-02-16,0,73,0,55,40,12,15,41,0,53
2020-02-23,0,51,29,95,18,0,0,41,13,80
2020-03-01,0,46,7,96,35,0,9,64,8,81
2020-03-08,0,58,0,92,30,7,0,24,16,57
2020-03-15,0,48,0,63,31,10,19,54,13,64
2020-03-22,0,44,0,68,39,12,0,67,8,59
2020-03-29,0,56,12,72,29,0,0,69,6,59
2020-04-05,0,50,8,53,0,9,0,63,26,68
2020-04-12,0,68,5,79,20,9,13,54,5,63
2020-04-19,9,60,0,78,13,5,12,76,0,89
2020-04-26,5,56,10,75,23,14,0,64,7,57
2020-05-03,0,87,0,74,28,18,0,100,12,63
2020-05-10,0,59,0,97,38,12,24,74,11,73
2020-05-17,0,37,5,82,27,25,8,66,11,70
2020-05-24,0,31,0,69,29,11,0,62,0,74
2020-05-31,0,62,11,65,33,8,17,48,9,68
2020-06-07,0,61,7,58,33,0,0,80,11,73
2020-06-14,6,61,9,65,35,0,0,72,0,43
2020-06-21,12,65,0,49,28,0,6,31,0,59
2020-06-28,0,63,9,67,23,0,12,54,5,47
2020-07-05,5,52,9,75,21,0,0,60,0,50
2020-07-12,0,48,4,91,22,0,6,68,3,43
2020-07-19,0,56,0,81,16,0,8,48,0,58
2020-07-26,4,54,0,71,18,0,0,60,5,35
2020-08-02,5,38,0,80,34,0,0,83,0,46
2020-08-09,0,66,0,70,39,0,12,46,0,47
2020-08-16,0,65,0,56,32,0,0,75,0,40
2020-08-23,0,56,0,86,41,0,0,56,0,43
2020-08-30,0,40,0,77,47,0,5,58,5,67
2020-09-06,7,65,5,91,42,7,15,47,0,65
2020-09-13,6,61,8,61,31,0,14,62,0,62
2020-09-20,0,60,0,76,77,0,0,63,0,61
2020-09-27,0,63,0,65,23,0,8,68,0,73
2020-10-04,5,81,12,48,36,0,17,47,14,35
2020-10-11,11,66,0,59,26,10,0,67,8,79
2020-10-18,5,63,12,69,28,0,14,67,7,49
2020-10-25,13,88,0,71,27,0,28,72,0,82
2020-11-01,0,54,9,58,33,0,0,44,0,58
2020-11-08,0,60,0,59,28,0,10,57,6,74
2020-11-15,0,73,0,55,30,6,6,42,5,64
2020-11-22,0,55,7,64,60,0,10,73,9,51
2020-11-29,0,70,0,47,22,0,13,75,0,68
2020-12-06,0,56,4,63,33,0,15,66,8,59
2020-12-13,0,42,8,58,22,0,14,68,0,53
2020-12-20,0,45,0,50,17,0,0,55,0,62
2020-12-27,0,50,16,48,25,10,0,70,23,67
2021-01-03,0,54,10,76,25,0,0,56,9,53
2021-01-10,0,62,0,36,20,0,9,64,0,70
2021-01-17,0,51,0,78,17,8,0,69,0,61
2021-01-24,5,70,6,88,31,15,0,42,0,94
2021-01-31,23,42,0,68,32,15,9,64,0,82
2021-02-07,0,76,0,47,16,13,0,62,10,59
2021-02-14,0,57,0,63,14,0,20,61,0,75
2021-02-21,0,56,13,62,17,0,0,83,0,80
2021-02-28,0,58,7,48,31,0,11,58,6,57
2021-03-07,0,56,0,61,33,0,13,77,0,50
2021-03-14,0,61,0,70,17,0,0,70,8,55
2021-03-21,0,48,5,90,20,0,0,56,3,48
2021-03-28,3,67,6,69,27,0,7,84,4,68
2021-04-04,0,77,10,55,25,0,14,72,2,65
2021-04-11,0,75,9,75,44,0,10,58,2,68
2021-04-18,0,75,5,57,35,0,6,60,3,71
2021-04-25,0,63,10,83,29,0,7,78,0,59
2021-05-02,0,80,9,48,25,0,9,65,0,68
2021-05-09,0,77,4,75,32,0,13,54,2,79
2021-05-16,0,73,0,70,24,0,8,73,5,64
2021-05-23,3,67,4,65,26,0,3,63,3,71
2021-05-30,8,58,3,72,36,0,2,76,4,90
2021-06-06,0,52,0,83,27,0,15,61,0,76
2021-06-13,0,73,5,76,30,0,7,51,4,65
2021-06-20,0,60,3,73,21,0,5,70,3,54
2021-06-27,0,60,5,69,33,0,9,62,0,66
2021-07-04,0,59,0,67,34,8,0,64,0,55
2021-07-11,0,45,7,96,31,0,6,73,3,42
2021-07-18,0,48,5,71,17,0,4,62,0,51
2021-07-25,0,52,6,85,20,0,6,80,5,45
2021-08-01,0,50,8,75,23,0,8,57,2,48
2021-08-08,0,35,5,76,27,0,5,78,0,42
2021-08-15,0,53,3,72,31,0,6,56,0,55
2021-08-22,0,52,0,75,33,7,5,59,8,69
2021-08-29,0,49,3,81,27,0,6,67,0,55
2021-09-05,2,43,5,80,23,0,0,64,4,68
2021-09-12,0,47,5,76,26,8,5,66,0,68
2021-09-19,0,44,0,77,28,0,0,58,4,61
2021-09-26,0,53,0,83,19,0,7,69,0,62
2021-10-03,8,51,11,56,29,0,13,73,13,51
2021-10-10,0,43,6,74,24,15,4,66,0,72
2021-10-17,0,60,0,74,26,0,10,55,0,85
2021-10-24,4,60,2,76,29,3,8,71,0,75
2021-10-31,3,63,5,75,25,0,6,65,4,62
2021-11-07,0,57,2,80,18,12,4,71,0,56
2021-11-14,0,61,2,90,20,0,0,77,2,59
2021-11-21,0,65,5,84,22,0,14,54,4,56
2021-11-28,0,52,4,67,30,0,5,71,3,64
2021-12-05,2,69,4,94,24,0,6,83,0,55
2021-12-12,0,63,2,81,23,0,2,67,0,61
2021-12-19,0,54,5,69,27,0,0,56,0,58
2021-12-26,0,48,6,71,17,0,0,49,0,57
2022-01-02,0,61,7,82,36,0,4,67,3,61
2022-01-09,0,47,4,93,26,0,4,50,2,64
2022-01-16,7,66,5,86,30,0,0,62,0,71
2022-01-23,0,78,2,89,19,0,9,69,0,71
2022-01-30,0,65,10,30,40,0,0,53,0,76
2022-02-06,6,65,3,76,38,0,4,47,0,80
2022-02-13,2,78,0,80,26,17,5,66,0,75
2022-02-20,2,57,3,72,29,17,7,72,0,76
2022-02-27,2,70,4,70,26,10,3,73,3,57
2022-03-06,0,60,6,84,32,20,9,66,4,71
2022-03-13,2,79,5,86,27,15,3,76,4,68
2022-03-20,0,66,5,75,27,15,6,64,0,62
2022-03-27,3,64,4,81,34,18,5,62,3,66
2022-04-03,0,50,10,80,23,21,8,78,6,80
2022-04-10,0,63,0,76,30,19,5,62,4,70
2022-04-17,2,62,3,78,24,15,9,70,2,74
2022-04-24,0,57,0,92,28,19,12,72,2,78
2022-05-01,0,70,9,63,32,21,5,64,4,73
2022-05-08,3,65,6,91,31,24,6,65,2,77
2022-05-15,0,56,3,70,25,22,6,62,8,63
2022-05-22,0,77,7,81,25,20,3,55,4,70
2022-05-29,0,55,8,74,25,14,4,57,0,61
2022-06-05,2,58,2,70,23,20,9,56,6,66
2022-06-12,0,46,3,84,26,23,5,58,6,71
2022-06-19,0,41,2,75,36,21,0,66,6,66
2022-06-26,2,53,4,76,28,14,0,58,5,57
2022-07-03,0,58,4,78,18,17,6,64,0,65
2022-07-10,0,45,6,92,28,20,0,73,0,72
2022-07-17,0,44,0,80,24,18,11,62,5,48
2022-07-24,5,57,5,74,23,16,5,67,3,71
2022-07-31,3,44,0,95,24,16,6,64,0,50
2022-08-07,0,50,4,81,37,28,4,57,5,64
2022-08-14,0,41,0,80,35,9,5,62,4,58
2022-08-21,3,51,4,86,32,16,8,62,0,62
2022-08-28,3,60,7,88,35,20,6,58,0,58
2022-09-04,6,58,3,86,46,24,2,67,8,57
2022-09-11,0,58,0,71,34,24,0,58,0,64
2022-09-18,0,60,6,98,35,16,6,54,4,61
2022-09-25,2,56,5,73,22,14,0,58,0,62
2022-10-02,0,58,7,45,37,22,0,52,15,63
2022-10-09,0,53,6,81,23,13,3,73,6,77
2022-10-16,0,56,10,67,29,25,4,72,2,62
2022-10-23,2,60,0,73,29,14,0,64,8,61
2022-10-30,0,50,7,67,25,20,3,66,4,67
2022-11-06,0,54,5,70,30,16,9,66,7,61
2022-11-13,2,68,5,74,25,15,3,55,9,72
2022-11-20,0,55,4,61,30,13,9,45,4,65
2022-11-27,0,51,4,61,25,15,9,57,0,59
2022-12-04,0,53,5,62,25,16,9,49,7,63
2022-12-11,2,45,3,63,24,21,6,48,2,56
2022-12-18,0,40,4,58,14,9,0,59,0,56
2022-12-25,0,50,0,62,27,8,6,67,4,65
2023-01-01,4,57,4,74,11,10,7,60,4,70
2023-01-08,0,51,4,67,21,14,4,50,4,60
2023-01-15,0,48,7,68,20,12,14,59,4,60
2023-01-22,0,50,4,19,32,16,4,35,8,56
2023-01-29,0,40,0,81,28,12,4,46,5,69
2023-02-05,0,59,0,63,29,11,3,54,5,70
2023-02-12,4,42,2,81,27,14,11,68,3,76
2023-02-19,4,43,5,71,20,17,7,57,6,74
2023-02-26,0,57,5,79,22,16,0,58,5,56
2023-03-05,0,53,3,75,22,19,6,65,7,67
2023-03-12,5,56,7,69,28,24,11,63,10,72
2023-03-19,0,52,7,69,16,13,5,70,3,73
2023-03-26,4,62,0,60,18,8,10,56,0,54
2023-04-02,0,48,0,67,26,12,3,56,6,57
2023-04-09,4,62,10,73,30,13,5,66,0,66
2023-04-16,2,45,6,59,24,16,5,63,4,63
2023-04-23,0,53,7,64,21,16,7,64,2,70
2023-04-30,3,65,6,64,22,17,10,59,4,82
2023-05-07,0,60,3,61,20,16,4,55,4,66
2023-05-14,2,62,6,60,28,13,6,72,3,63
2023-05-21,0,52,10,62,25,14,7,47,7,72
2023-05-28,2,55,8,67,26,6,9,50,0,62
2023-06-04,0,45,3,55,20,10,8,49,0,63
2023-06-11,0,68,4,65,18,18,2,56,0,58
2023-06-18,0,69,4,36,23,17,3,56,0,69
2023-06-25,3,57,4,56,27,7,4,47,0,51
2023-07-02,0,62,6,60,18,7,4,54,3,66
2023-07-09,5,55,6,54,27,8,10,46,3,61
2023-07-16,2,59,2,63,24,12,8,50,6,46
2023-07-23,0,50,2,60,28,11,8,50,2,58
2023-07-30,0,59,0,63,27,14,8,55,5,45
2023-08-06,0,45,0,59,21,6,8,52,3,55
2023-08-13,3,61,0,61,33,12,4,63,5,60
2023-08-20,6,47,0,57,27,5,8,50,6,58
2023-08-27,0,56,7,45,15,5,3,56,3,64
