date,factor
31JAN1980,-0.100050712
29FEB1980,-0.022620025
31MAR1980,0.1142313576
30APR1980,-0.025400144
31MAY1980,0.0012141815
30JUN1980,-0.009713334
31JUL1980,0.0195900661
31AUG1980,-0.044102066
30SEP1980,-0.02446938
31OCT1980,-0.04297224
30NOV1980,-0.093281349
31DEC1980,0.087876243
31JAN1981,0.0400929657
28FEB1981,0.0165148411
31MAR1981,0.0395843748
30APR1981,0.0608712163
31MAY1981,-0.038128328
30JUN1981,-0.034608022
31JUL1981,-0.016815746
31AUG1981,0.0454362032
30SEP1981,0.1112372037
31OCT1981,-0.021727281
30NOV1981,0.0300618184
31DEC1981,0.0656599866
31JAN1982,0.0630532621
28FEB1982,0.1140981088
31MAR1982,0.0518409925
30APR1982,0.0310905612
31MAY1982,0.0377147665
30JUN1982,0.0619851296
31JUL1982,0.0207657294
31AUG1982,-0.02101599
30SEP1982,0.0776186684
31OCT1982,-0.027933723
30NOV1982,0.0281713661
31DEC1982,0.0093932598
31JAN1983,-0.026115957
28FEB1983,0.058322181
31MAR1983,-0.018094919
30APR1983,-0.082012852
31MAY1983,-0.052600056
30JUN1983,-0.000326716
31JUL1983,0.063528707
31AUG1983,0.030617712
30SEP1983,0.0974302154
31OCT1983,0.0745241531
30NOV1983,0.0282118483
31DEC1983,0.0463682726
31JAN1984,-0.085219
29FEB1984,-0.053984927
31MAR1984,0.0237825748
30APR1984,0.0341772767
31MAY1984,0.0849060912
30JUN1984,-0.024422297
31JUL1984,0.0716556307
31AUG1984,-0.065009941
30SEP1984,0.0242265658
31OCT1984,0.0647750537
30NOV1984,0.0866843784
31DEC1984,0.0505021555
31JAN1985,-0.070867955
28FEB1985,0.002619094
31MAR1985,0.0414154542
30APR1985,0.0349067477
31MAY1985,0.0327380266
30JUN1985,0.0377997385
31JUL1985,0.0284221365
31AUG1985,0.0362773339
30SEP1985,0.0182239377
31OCT1985,0.0239388239
30NOV1985,0.0667523739
31DEC1985,0.0257726025
31JAN1986,-0.016567838
28FEB1986,0.0744896737
31MAR1986,0.0268923961
30APR1986,0.0234878112
31MAY1986,-0.050038707
30JUN1986,0.0215332442
31JUL1986,0.0237449062
31AUG1986,0.058984751
30SEP1986,-0.011693984
31OCT1986,0.0416229416
30NOV1986,0.0450617735
31DEC1986,0.0215536237
31JAN1987,-0.00662545
28FEB1987,0.0055230332
31MAR1987,-0.021796819
30APR1987,-0.016416479
31MAY1987,0.0291299299
30JUN1987,0.0129075824
31JUL1987,-0.009469563
31AUG1987,0.0464330705
30SEP1987,0.0240124208
31OCT1987,0.1185564971
30NOV1987,0.0846000161
31DEC1987,0.0229077763
31JAN1988,0.0591523859
29FEB1988,-0.062707948
31MAR1988,-0.101481273
30APR1988,-0.009016692
31MAY1988,0.0792230787
30JUN1988,0.0093968079
31JUL1988,0.0085369587
31AUG1988,0.0244861181
30SEP1988,0.0505415576
31OCT1988,0.0017104194
30NOV1988,-0.047931457
31DEC1988,0.0203350288
31JAN1989,0.0475315646
28FEB1989,-0.022426506
31MAR1989,-0.000896539
30APR1989,0.0228315505
31MAY1989,0.0140528679
30JUN1989,0.0218073505
31JUL1989,0.0784505569
31AUG1989,0.0188187632
30SEP1989,-0.001639711
31OCT1989,0.0154161567
30NOV1989,0.0668788527
31DEC1989,-0.008504424
31JAN1990,0.0357683976
28FEB1990,-0.010368689
31MAR1990,0.0419749549
30APR1990,-0.004249347
31MAY1990,0.0320555336
30JUN1990,0.0032934509
31JUL1990,0.0567345892
31AUG1990,0.0289629294
30SEP1990,0.1281358233
31OCT1990,0.1125234785
30NOV1990,0.0315569929
31DEC1990,0.1233856036
31JAN1991,-0.017629563
28FEB1991,-0.103961653
31MAR1991,-0.066233508
30APR1991,0.0458916184
31MAY1991,-0.010525726
30JUN1991,0.0671631898
31JUL1991,-0.002563825
31AUG1991,-0.036149479
30SEP1991,0.0407021253
31OCT1991,-0.01201923
30NOV1991,0.0335608072
31DEC1991,0.0566618809
31JAN1992,-0.203636764
29FEB1992,-0.050144726
31MAR1992,0.0454540911
30APR1992,0.1201510391
31MAY1992,0.0399102177
30JUN1992,0.0591678278
31JUL1992,0.008447819
31AUG1992,0.0610499417
30SEP1992,0.0180613835
31OCT1992,-0.033451449
30NOV1992,-0.039271656
31DEC1992,-0.020582196
31JAN1993,-0.089955375
28FEB1993,0.0046897526
31MAR1993,0.0525323622
30APR1993,0.0041214378
31MAY1993,-0.042176918
30JUN1993,0.029426178
31JUL1993,-0.014318134
31AUG1993,0.0189457667
30SEP1993,-0.041356194
31OCT1993,-0.070390231
30NOV1993,0.0151486278
31DEC1993,0.0581188885
31JAN1994,-0.019904913
28FEB1994,-0.010671008
31MAR1994,0.0576127273
30APR1994,0.0650446546
31MAY1994,0.0269835673
30JUN1994,0.056001055
31JUL1994,0.046225423
31AUG1994,-0.023703732
30SEP1994,-0.032937118
31OCT1994,0.0226292605
30NOV1994,0.0187065563
31DEC1994,0.060051347
31JAN1995,0.0248674573
28FEB1995,-0.000062785
31MAR1995,0.0215532886
30APR1995,-0.026368803
31MAY1995,0.0296049072
30JUN1995,-0.072224067
31JUL1995,-0.060232434
31AUG1995,-0.01011856
30SEP1995,0.0418843759
31OCT1995,0.0571737699
30NOV1995,0.0205258007
31DEC1995,0.0466492485
31JAN1996,0.1012464155
29FEB1996,0.0040752626
31MAR1996,0.028135413
30APR1996,-0.134179064
31MAY1996,-0.052332422
30JUN1996,0.145164071
31JUL1996,0.1471592876
31AUG1996,-0.061208688
30SEP1996,-0.033511271
31OCT1996,0.1233486118
30NOV1996,0.0577986029
31DEC1996,0.0155912187
31JAN1997,-0.013946224
28FEB1997,0.062892406
31MAR1997,0.0776853011
30APR1997,0.1044300569
31MAY1997,-0.0638822
30JUN1997,0.0349243637
31JUL1997,0.0470923678
31AUG1997,-0.087770429
30SEP1997,-0.006771311
31OCT1997,0.0335480163
30NOV1997,0.0234396549
31DEC1997,0.110124256
31JAN1998,0.0076655034
28FEB1998,0.0133883335
31MAR1998,0.0143748804
30APR1998,0.000261468
31MAY1998,0.0155795811
30JUN1998,-0.022025597
31JUL1998,0.0426386491
31AUG1998,0.1880605139
30SEP1998,-0.00118831
31OCT1998,-0.015119959
30NOV1998,-0.038680709
31DEC1998,-0.011641471
31JAN1999,-0.351076545
28FEB1999,0.0527073445
31MAR1999,-0.06688208
30APR1999,-0.086911908
31MAY1999,0.0846450001
30JUN1999,0.0018151694
31JUL1999,0.0509982829
31AUG1999,-0.010235495
30SEP1999,-0.053063184
31OCT1999,0.0331790096
30NOV1999,-0.169152543
31DEC1999,-0.298534583
31JAN2000,0.1044585664
29FEB2000,-0.365337458
31MAR2000,0.3393737657
30APR2000,0.1918432549
31MAY2000,0.2141094825
30JUN2000,-0.316054524
31JUL2000,0.1410660584
31AUG2000,-0.095692046
30SEP2000,0.1472554268
31OCT2000,0.1402744839
30NOV2000,0.3179769194
31DEC2000,0.0712230049
31JAN2001,-0.185202581
28FEB2001,0.3721604647
31MAR2001,0.2148207987
30APR2001,-0.058818411
31MAY2001,0.0744335286
30JUN2001,0.0150375126
31JUL2001,0.2209065422
31AUG2001,0.096875378
30SEP2001,0.1898737386
31OCT2001,-0.108140216
30NOV2001,-0.144030161
31DEC2001,-0.081884139
31JAN2002,0.0694344826
28FEB2002,0.117803365
31MAR2002,-0.129377229
30APR2002,0.0557306378
31MAY2002,0.0878336254
30JUN2002,0.095180606
31JUL2002,0.1758938052
31AUG2002,-0.064858774
30SEP2002,0.1713848994
31OCT2002,-0.050607985
30NOV2002,-0.349824365
31DEC2002,0.159179407
31JAN2003,-0.034859775
28FEB2003,0.0122706826
31MAR2003,-0.053314519
30APR2003,-0.155013357
31MAY2003,-0.174627075
30JUN2003,-0.076580784
31JUL2003,-0.060704183
31AUG2003,-0.055209322
30SEP2003,0.0271705135
31OCT2003,-0.062279948
30NOV2003,-0.009993594
31DEC2003,0.0192484518
31JAN2004,-0.053338368
29FEB2004,0.0222648188
31MAR2004,-0.00289459
30APR2004,0.0646938688
31MAY2004,-0.078638495
30JUN2004,0.0050645452
31JUL2004,0.0714282356
31AUG2004,0.0518637869
30SEP2004,-0.050616149
31OCT2004,-0.012284704
30NOV2004,-0.080421347
31DEC2004,-0.045233234
31JAN2005,0.0450015617
28FEB2005,0.0055368645
31MAR2005,0.0074143513
30APR2005,-0.028211294
31MAY2005,-0.077336279
30JUN2005,-0.071265112
31JUL2005,-0.019499869
31AUG2005,0.0063297132
30SEP2005,-0.035078494
31OCT2005,0.0143598835
30NOV2005,-0.023357358
31DEC2005,-0.007571796
31JAN2006,-0.097718297
28FEB2006,0.0333681938
31MAR2006,-0.04601464
30APR2006,-0.005157736
31MAY2006,0.0335345192
30JUN2006,0.0185822062
31JUL2006,0.0638217587
31AUG2006,0.0125604737
30SEP2006,-0.014263582
31OCT2006,-0.033601097
30NOV2006,-0.029292784
31DEC2006,0.040555587
31JAN2007,0.0105679146
28FEB2007,0.0095682875
31MAR2007,-0.01186705
30APR2007,0.0109470829
31MAY2007,-0.006112388
30JUN2007,-0.021244861
31JUL2007,0.013877197
31AUG2007,0.0027329103
30SEP2007,0.0170004923
31OCT2007,0.0424483176
30NOV2007,0.0291707411
31DEC2007,-0.009727531
31JAN2008,0.0256413949
29FEB2008,0.0943807804
31MAR2008,0.002290158
30APR2008,-0.055015759
31MAY2008,0.0068473994
30JUN2008,-0.042907056
31JUL2008,0.0474949827
31AUG2008,0.0458870527
30SEP2008,0.1458257587
31OCT2008,0.1069842906
30NOV2008,0.0989544917
31DEC2008,0.0561272273
31JAN2009,0.1036462948
28FEB2009,0.1794723586
31MAR2009,-0.328701275
30APR2009,-0.290237087
31MAY2009,-0.169065568
30JUN2009,0.0109119887
31JUL2009,-0.032815902
31AUG2009,-0.074102387
30SEP2009,-0.02464283
31OCT2009,0.1613538764
30NOV2009,-0.018378423
31DEC2009,-0.018325634
31JAN2010,0.0041954442
28FEB2010,-0.036701156
31MAR2010,-0.02388461
30APR2010,-0.024196034
31MAY2010,0.0136440646
30JUN2010,0.0695724803
31JUL2010,-0.09350298
31AUG2010,0.0443170635
30SEP2010,-0.028287368
31OCT2010,0.0030069077
30NOV2010,-0.070012849
31DEC2010,0.0092920387
31JAN2011,0.0499155434
28FEB2011,0.0049359994
31MAR2011,-0.017981483
30APR2011,0.012350491
31MAY2011,0.0068390918
30JUN2011,0.0049755912
31JUL2011,-0.022708738
31AUG2011,0.0801874136
30SEP2011,0.1407812302
31OCT2011,-0.038552444
30NOV2011,0.0706695894
31DEC2011,0.0551798807
31JAN2012,-0.073729953
29FEB2012,-0.047135423
31MAR2012,0.0174841507
30APR2012,0.0335947218
31MAY2012,0.0193002883
30JUN2012,0.0172223252
31JUL2012,0.0442174486
31AUG2012,-0.039436169
30SEP2012,-0.008584408
31OCT2012,0.0068202664
30NOV2012,-0.044499949
31DEC2012,-0.005175276
31JAN2013,-0.034392005
28FEB2013,0.0020542267
31MAR2013,-0.036713918
30APR2013,-0.015161279
31MAY2013,-0.067024155
30JUN2013,-0.019445176
31JUL2013,-0.02387485
31AUG2013,-0.027488849
30SEP2013,-0.044716748
31OCT2013,0.0414021556
30NOV2013,-0.005534744
31DEC2013,-0.001268445
31JAN2014,-0.035838825
28FEB2014,-0.073114107
31MAR2014,0.0729957038
30APR2014,0.097748967
31MAY2014,-0.010219864
30JUN2014,-0.053776008
31JUL2014,0.0477064014
31AUG2014,0.0053111706
30SEP2014,0.0407396101
31OCT2014,-0.005363813
30NOV2014,0.0285403253
31DEC2014,0.0010143038
31JAN2015,-0.016837927
28FEB2015,-0.030286197
31MAR2015,-0.019489078
30APR2015,0.0628918105
31MAY2015,0.0150396065
30JUN2015,0.0110227088
31JUL2015,0.0451495974
31AUG2015,-0.019819001
30SEP2015,0.1303739006
31OCT2015,0.0444773591
30NOV2015,-0.032765842
31DEC2015,0.0190748482
31JAN2016,0.1118837156
29FEB2016,0.0439952
31MAR2016,-0.018578321
30APR2016,-0.151132314
31MAY2016,0.001376981
30JUN2016,0.0398399186
31JUL2016,-0.025519407
31AUG2016,-0.038998345
30SEP2016,-0.030322794
31OCT2016,0.0944806854
30NOV2016,0.0163075375
31DEC2016,0.0259687357
31JAN2017,-0.017566109
28FEB2017,0.0177335399
31MAR2017,-0.021987326
30APR2017,0.0127766061
31MAY2017,0.0173846456
30JUN2017,0.0089786298
31JUL2017,0.0284346465
31AUG2017,0.023899981
30SEP2017,-0.037198677
31OCT2017,0.0461926402
30NOV2017,-0.021521833
31DEC2017,-0.030348789
31JAN2018,0.0102245808
28FEB2018,-0.026197356
31MAR2018,-0.008406661
30APR2018,0.0241425039
31MAY2018,-0.054766329
30JUN2018,-0.026674028
31JUL2018,0.0722673605
31AUG2018,0.0134541855
30SEP2018,0.009542975
31OCT2018,0.1819252436
30NOV2018,0.0226859639
31DEC2018,0.0124871445
31JAN2019,-0.140427039
28FEB2019,0.0096530303
31MAR2019,0.0106044104
30APR2019,0.0216517032
31MAY2019,0.0545103362
30JUN2019,-0.029864489
31JUL2019,-0.016470863
31AUG2019,0.0704985435
30SEP2019,0.0444009213
31OCT2019,0.0322055774
30NOV2019,-0.013679687
31DEC2019,-0.011749844
31JAN2020,0.0595296116
29FEB2020,-0.035044529
31MAR2020,0.0542490496
30APR2020,-0.101037799
31MAY2020,-0.077901555
30JUN2020,-0.081304345
31JUL2020,0.2152462884
31AUG2020,-0.014686776
30SEP2020,0.0431098848
31OCT2020,0.0257246704
30NOV2020,-0.071785171
31DEC2020,-0.007754338
31JAN2021,-0.224184084
28FEB2021,0.1311171023
31MAR2021,0.1072504405
30APR2021,0.0357064807
31MAY2021,0.0113866269
30JUN2021,-0.068003629
31JUL2021,0.10299686
31AUG2021,-0.012072922
30SEP2021,-0.019973501
31OCT2021,0.043207943
30NOV2021,-0.011039654
31DEC2021,0.1585571472
31JAN2022,0.1126635692
28FEB2022,0.0286658424
31MAR2022,-0.008663032
